
PersonID,PersonName,PersonEmail,PersonContact,PersonAddress,PersonDOB,PersonGender,PersonType
PID0492,Camella Feathers,cfeathersw@flavors.me,256-956-2299,18170 Kings Drive,1980-08-14,Female    ,Customer
PID0600,Abbot Isack,aisack14@tiny.cc,965-811-8797,93307 Dunning Center,1976-01-02,Male      ,Customer
PID0625,Laverna Lafee,llafee4@smugmug.com,950-564-7738,1476 Sunbrook Junction,1978-02-22,Female    ,Customer
PID1225,Salvatore Klezmski,sklezmski8@buzzfeed.com,740-976-4037,1517 Dwight Street,1997-01-02,Male      ,Employee
PID1260,Flore Warbeys,fwarbeysp@booking.com,544-810-1514,1 Holmberg Plaza,1975-02-04,Female    ,Employee
PID1878,Alexandrina Rain,arain2@fotki.com,104-510-7310,3871 Kennedy Pass,1972-11-18,Female    ,Customer
PID1958,Delano Heindrich,dheindrichk@fema.gov,312-535-0917,36860 Bonner Drive,1975-02-12,Male      ,Customer
PID1983,Tally Bampkin,tbampkin18@mapy.cz,602-453-1875,2693 Johnson Place,1990-12-26,Male      ,Employee
PID2477,Hilliard Beaufoy,hbeaufoyb@oaic.gov.au,499-181-6918,7 Hermina Terrace,1988-10-27,Male      ,Employee
PID2535,Arlinda Turpin,aturpin12@newsvine.com,694-669-0524,84057 Golden Leaf Trail,1980-10-17,Female    ,Employee
PID2585,Evey Bernlin,ebernlin5@wisc.edu,600-671-3618,0846 Huxley Pass,1976-04-29,Female    ,Customer
PID2707,Katharine Roeby,kroebym@sohu.com,960-320-2088,8987 Reinke Center,1979-01-09,Female    ,Employee
PID2930,Jeanelle Wilbore,jwilbore16@weebly.com,570-741-2355,74299 Mockingbird Place,1978-11-06,Female    ,Customer
PID3485,Redford Mattessen,rmattessend@miitbeian.gov.cn,202-770-4198,9 Sunnyside Pass,1971-05-29,Male      ,Employee
PID3583,Ethyl Hyams,ehyamsf@samsung.com,482-242-4944,17590 Kensington Parkway,1978-04-27,Female    ,Customer
PID3854,Lindi Amner,lamner11@dedecms.com,354-862-9823,386 Little Fleur Road,1991-02-25,Female    ,Employee
